cf1,start,end,cf2,start,end,set,clone?,type
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,261,277,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,157,173,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,orig,TP,T2
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,455,470,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,428,439,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,112,124,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,jfreechart/src/main/java/org/jfree/chart/plot/MultiplePiePlot.java,104,116,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Day.java,131,141,jfreechart/src/main/java/org/jfree/data/time/Day.java,145,155,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/plot/MultiplePiePlot.java,104,116,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,237,249,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,jfreechart/src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,237,249,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Minute.java,221,241,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/RendererUtilities.java,13,76,jfreechart/src/main/java/org/jfree/chart/renderer/RendererUtilities.java,79,144,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,373,385,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,428,439,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/TimeSeriesDataItem.java,78,93,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/general/HeatMapUtilities.java,11,20,jfreechart/src/main/java/org/jfree/data/general/HeatMapUtilities.java,21,30,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Hour.java,219,239,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Year.java,155,174,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,59,68,jfreechart/src/main/java/org/jfree/data/general/DatasetUtilities.java,74,83,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/xml/PieDatasetHandler.java,34,50,jfreechart/src/main/java/org/jfree/data/xml/CategoryDatasetHandler.java,34,52,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Day.java,211,228,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/WaferMapRenderer.java,234,245,jfreechart/src/main/java/org/jfree/chart/renderer/WaferMapRenderer.java,248,259,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/statistics/BoxAndWhiskerItem.java,45,65,jfreechart/src/main/java/org/jfree/chart/ClipPath.java,76,91,orig,FP,T3
